Name,in_deck,isSpec
Blunt Club,2,
Large Club,1,
Gladius,1,
Mercenary Longsword,2,
Sword of the Saint,1,
Wooden Shield,2,
Kite Shield,2,
Tower Shield,2,
Father's Billhook,1,
The Hero's Polearm,2,
The Bloody Claw,2,
Devious Eyepatch,2,
Trusty Helmet,2,
Shirt of Bravado,2,
Trusty Brigandine,2,
Brave Bracers,2,
Caligae,2,
Valor Sallet,2,
Valor Half-Plate,2,0
Valor Gauntlets,2,0
Valor Leg Guards,2,0
Steel Slash,2,0
Brave Blade,2,0
Lacerating Lunge,1,0
Moon Cleave,1,0
Shield Bash,2,0
Furious Fencing,2,0
Second Wind,2,0
Reckless Push,2,0
Battlemaster,3,0
Reload,3,0
Skullsplitter,2,0
Scraper,0,1
