Name,Class,Type,is2Handed,Level,DurabilityIncrease,PowerIncrease,EfficiencyIncrease,TenacityIncrease,SensitivityIncrease,AtkStat,AtkFunc,AtkCoeff,OnHit,OnMiss,OnPlay,OnActivate,ChoiceLabels,OnNextTurn,OnNextPlayerTurn,OnRemove,WhileinPlay,ChainsWith,OnChainActivate,Requires,Text,CD,Flavor
Blunt Club,Heavy,Weapon,0.0,1,,2.0,,,,Power,LINEAR,-1.0,"playCounter(""Rage"", 1)","removeAllCounters(""Rage"")",,,,,,,,,,,"Power +2

1. Attack: Deal damage equal to Power-1 to an enemy.
   - It hits -> Gain a Rage counter
Rage counter: While in play, Power +1. If you miss: Lose all Rage Counters.",0.0,"Probably part of an ancient ritual.
You feel a latent power now getting dull."
Large Club,Heavy,Dual,1.0,1,,3.0,,,,Power,LINEAR,-1.0,"playCounter(""Rage"", 1)","removeAllCounters(""Rage"")",,,,,,,,,,,"Power +3
This weapon is Two Handed.

1. Attack: Deal damage equal to Power-1 to an enemy.
   - It hits -> Gain a Rage counter
Rage counter: While in play, Power +1. If you miss: Lose all Rage Counters.",1.0,"When the ancient tree withered and died, Jargen used its wood to build this club. This was the beginning of its legend."
Gladius,Heavy,Weapon,0.0,1,,2.0,,,,Power,LINEAR,0.0,,,,,,,,,,,,,"Power +2

1. Attack: Deal damage equal to Power to an enemy.",0.0,This blade has been passed from old to new gladiators as a memento mori.
Mercenary Longsword,Heavy,Weapon,0.0,3,,3.0,,1.0,,Power,LINEAR,0.0,,,,,,,,,,,,,"Power +3
Tenacity +1

1. Attack: Deal damage equal to Power to an enemy.",0.0,The Band of the Red Ox used this sword as the tombstone of their leader.
Sword of the Saint,Heavy,Weapon,0.0,5,,4.0,,2.0,,Power,LINEAR,0.0,,,,"playCounter(""Kai"", 3)",,,,,,,,,"Power +4
Tenacity +2
1. Attack: Deal damage equal to Power to an enemy.
2. Skill - Kai: Get 3 Kai counters

Kai counter: The next damage Skill deals damage equal to Power instead of their regular value. You cannot have an Off-Hand Equip on field to use this.",1.0,"The Saint, a mysterious swordman, fought their whole life dueling using this sword.
When they lost both their arms, the legend tells that this sword was attached to their right arm prothesis."
Wooden Shield,Heavy,Off-Hand,,1,,,,1.0,,,,,,,,Cover(2),,,,,,,,,"Tenacity +1

1. Skill - Cover II: Gain Tenacity +2 until your next turn.",2.0,"When Julia was attacked by a drunk mercenary, she defended herself with the tavern's table and punched him until he was sober. It marked the start of a great friendship."
Kite Shield,Heavy,Off-Hand,,3,,,,2.0,,,,,,,,Shield(),,RemoveShield(),,,,,,,"Tenacity +2

1. Skill - Shield: Until your next turn, the first damage Action you are the target of misses.",2.0,"Julia, acting commander of the Band of the Red Ox after her lover's death, swore to his tomb that she'll keep everyone else alive in his absence."
Tower Shield,Heavy,Off-Hand,,5,,,,3.0,,,,,,,,Cover(5),,,,,,,,,"Tenacity +3

1. Skill - Cover V: Gain Tenacity +5 until your next turn.",3.0,"The shield of Julia, known as the Iron Angel, the Valkyrie or the Shieldmaiden based on the song you hear. She kept fighting and defending soldiers on the battlefield even after the Band of The Red Ox was disbanded."
Father's Billhook,Heavy,Dual,1.0,1,,1.0,,1.0,,Power,LINEAR,0.0,,,,Deflect(1),,,,,,,,,"Power +2
Tenacity +1
This weapon is considered Two Handed.

1. Attack: Deal damage equal to Power to an enemy.
2. Skill - Deflect I: Until your next turn, Tenacity +1 during the first damage Action you are the target of.
 - if it misses -> gain a Momentum counter. You lose it at the end of your next turn.

Momentum counter: During your Duel phase, you can remove it from game to make a learnt Skill ready.",1.0,"After the farm burned down, a young man that lost everything clinged to this weapon like it was the family he didn't have anymore."
The Hero's Polearm,Heavy,Dual,1.0,3,,1.0,,3.0,,Power,LINEAR,2.0,,,,Deflect(1),,,,,,,,,"Power +1
Tenacity +3
This weapon is considered Two Handed.

1. Attack: Deal damage equal to Power+2 to an enemy.
2. Skill - Deflect I: Until your next turn, Tenacity +1 during the first damage Action you are the target of.
 - if it misses -> gain a Momentum counter. You lose it at the end of your next turn.

Momentum counter: During your Duel phase, you can remove it from game to make a learnt Skill ready.",1.0,"The towns of Queensdale still remember of a folk hero that fought with a farming tool and that one day disappeared.
He's treated as the guardian angel of all children, expecially orphans."
